timestamp,filename,name
2024-08-27 17:11:00.746914,ManagerRilievoMatricole/static/cronologia/table_20240827_171100.html,27_11_2024 17:11
2024-08-27 17:11:13.696454,ManagerRilievoMatricole/static/cronologia/table_20240827_171113.html,27_11_2024 17:11
2024-08-27 17:15:51.075403,ManagerRilievoMatricole/static/cronologia/table_20240827_171551.html,27_15_2024 17:15
2024-08-27 17:16:00.636021,ManagerRilievoMatricole/static/cronologia/table_20240827_171600.html,27_16_2024 17:16
2024-08-27 17:20:40.649469,ManagerRilievoMatricole/static/cronologia/table_20240827_172040.html,27_20_2024 17:20
2024-08-27 17:20:46.165145,ManagerRilievoMatricole/static/cronologia/table_20240827_172046.html,27_20_2024 17:20
2024-08-27 17:22:26.234313,ManagerRilievoMatricole/static/cronologia/table_20240827_172226.html,27_22_2024 17:22
2024-08-27 17:22:34.837147,ManagerRilievoMatricole/static/cronologia/table_20240827_172234.html,27_22_2024 17:22
2024-08-28 08:34:23.241123,ManagerRilievoMatricole/static/cronologia/table_20240828_083423.html,28_34_2024 08:34
2024-08-28 08:34:30.335272,ManagerRilievoMatricole/static/cronologia/table_20240828_083430.html,28_34_2024 08:34
2024-08-28 08:37:09.036447,ManagerRilievoMatricole/static/cronologia/table_20240828_083709.html,28_37_2024 08:37
